"code","date","winCount","lossCount","winProfit","lossProfit","commission","mktValue","profit",
"002900","2021-05-25","1","1","103","-133","156.335","78288","-30",
"002900","2021-05-26","1","0","232","0","55.66","27612","232",
"002900","2021-05-27","1","0","437","0","156.1845","77649","437",
"002900","2021-05-28","0","1","0","-1083","159.89","79716","-1083",
"002900","2021-05-31","1","2","84","-335","141.3185","70610","-251",
"002900","2021-06-01","0","1","0","-417","238.916","119412","-417",
"002900","2021-06-02","2","0","592","0","308.684","153919","592",
"002900","2021-06-03","1","1","101","-1161","461.862","230625","-1060",
"002900","2021-06-04","1","0","220","0","59.02","29300","220",
"002900","2021-06-07","1","0","435","0","344.61","171720","435",
"002900","2021-06-08","2","2","987","-295","528.216","264329","692",
"002900","2021-06-09","1","1","103","-289","133.016","66682","-186",
"002900","2021-06-10","2","0","710","0","564.5575","282221","710",
"002900","2021-06-11","1","0","902","0","214.508","107532","902",
"002900","2021-06-15","1","2","96","-340","99.6175","49950","-244",
"002900","2021-06-16","1","3","106","-572","203.2245","98945","-466",
"002900","2021-06-17","1","2","102","-247","109.9165","54888","-145",
"002900","2021-06-18","2","0","643","0","216.01","107604","643",
"002900","2021-06-21","2","0","1045","0","271.048","135736","1045",
"002900","2021-06-22","2","0","654","0","210.073","104672","654",
"002900","2021-06-23","3","3","1304","-601","1201.188","580351","703",
"002900","2021-06-24","1","0","198","0","47.9835","24052","198",
"002900","2021-06-25","1","0","581","0","371.142","184856","581",
"002900","2021-06-28","3","0","1354","0","1163.6565","582288","1354",
"002900","2021-06-29","2","0","2060","0","1351.8305","675036","2060",
"002900","2021-06-30","3","0","752","0","463.141","231476","752",
"002900","2021-07-01","2","0","1088","0","369.302","183768","1088",
"002900","2021-07-02","4","1","1818","-410","1177.91","587978","1408",

